query,id,timestamp_utc,local_time,user_screen_name,text,possibly_sensitive,retweet_count,like_count,reply_count,lang,to_username,to_userid,to_tweetid,source_name,source_url,user_location,lat,lng,user_id,user_name,user_verified,user_description,user_url,user_image,user_tweets,user_followers,user_friends,user_likes,user_lists,user_created_at,user_timestamp_utc,collected_via,match_query,retweeted_id,retweeted_user,retweeted_user_id,retweeted_timestamp_utc,quoted_id,quoted_user,quoted_user_id,quoted_timestamp_utc,collection_time,url,place_country_code,place_name,place_type,place_coordinates,links,domains,media_urls,media_files,media_types,mentioned_names,mentioned_ids,hashtags,intervention_type,intervention_text,intervention_url
from:@Mediapart since:2021-09-01,1463982078815608832,1637875501,2021-11-25T21:25:01,Mediapart,"[ #ÀlairLibre ] #France-#Égypte: « Si Le Drian a du respect pour la République, il doit démissionner » – par @_alairlibre https://bit.ly/3nPqPJh",0,20,28,3,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.898527,https://twitter.com/Mediapart/statuses/1463982078815608832,,,,,https://bit.ly/3nPqPJh,bit.ly,,,,_alairlibre,16996244,france|àlairlibre|égypte,,,
from:@Mediapart since:2021-09-01,1463972513516560384,1637873221,2021-11-25T20:47:01,Mediapart,"Tout en menant une bataille culturelle visant à banaliser leurs idées et ridiculiser celles de la gauche, les influenceurs de la #fachosphère ont réussi à mettre en place un écosystème numérique très rentable. https://bit.ly/32nDVFo",0,21,35,10,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.899367,https://twitter.com/Mediapart/statuses/1463972513516560384,,,,,https://bit.ly/32nDVFo,bit.ly,,,,,,fachosphère,,,
from:@Mediapart since:2021-09-01,1463962953187790851,1637870941,2021-11-25T20:09:01,Mediapart,"#Police – Un policier émirati accusé de torture prend la tête d’#Interpol 

– Un article de @Mat_Marty, journaliste chez notre partenaire @WeReport_eu https://bit.ly/3FOxUQu",0,32,45,5,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.900217,https://twitter.com/Mediapart/statuses/1463962953187790851,,,,,https://bit.ly/3FOxUQu,bit.ly,,,,mat_marty|wereport_eu,339011842|2600126066,interpol|police,,,
from:@Mediapart since:2021-09-01,1463958169517019140,1637869801,2021-11-25T19:50:01,Mediapart,"Les influenceurs et les youtubeurs d’#ExtrêmeDroite se jouent des règles de modération des plateformes qui, de leur côté, sont souvent réticentes à censurer leurs contenus. La justice, elle, manque cruellement de moyens. https://bit.ly/3nPSn1a",0,21,46,12,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.901068,https://twitter.com/Mediapart/statuses/1463958169517019140,,,,,https://bit.ly/3nPSn1a,bit.ly,,,,,,extrêmedroite,,,
from:@Mediapart since:2021-09-01,1463953385963544578,1637868660,2021-11-25T19:31:00,Mediapart,"Le député Meyer Habib (UDI) dirige les travaux d’une commission d’enquête sur l’affaire Sarah Halimi, dont il n’admet pas la conclusion judiciaire. Imposant son opinion lors des auditions, le député a aussi posté sur Facebook des éléments confidentiels.  https://bit.ly/3HMXZ4t",0,37,42,18,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.902038,https://twitter.com/Mediapart/statuses/1463953385963544578,,,,,https://bit.ly/3HMXZ4t,bit.ly,,,,,,,,,
from:@Mediapart since:2021-09-01,1463943826456862730,1637866381,2021-11-25T18:53:01,Mediapart,"Guérini, ancien président du conseil général des Bouches-du-Rhône peut conserver son mandat sénatorial, malgré sa peine d’inéligibilité à effet immédiat en première instance. Les « sages » refusent de le démettre sans jugement définitif à son égard. https://bit.ly/3FMt2eR",0,18,14,9,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.902901,https://twitter.com/Mediapart/statuses/1463943826456862730,,,,,https://bit.ly/3FMt2eR,bit.ly,,,,,,,,,
from:@Mediapart since:2021-09-01,1463939045290094598,1637865241,2021-11-25T18:34:01,Mediapart,"Internet : que faire de la #fachosphère ? 

Par @JeromeHourdeaux https://bit.ly/3nPSn1a",0,9,15,6,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.903725,https://twitter.com/Mediapart/statuses/1463939045290094598,,,,,https://bit.ly/3nPSn1a,bit.ly,,,,jeromehourdeaux,22767457,fachosphère,,,
from:@Mediapart since:2021-09-01,1463934270494421004,1637864103,2021-11-25T18:15:03,Mediapart,"Meurtre de #SarahHalimi : une commission d’enquête dévoyée par son président.

Par @CamillePolloni https://bit.ly/3HMXZ4t",0,8,12,2,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.904663,https://twitter.com/Mediapart/statuses/1463934270494421004,,,,,https://bit.ly/3HMXZ4t,bit.ly,,,,camillepolloni,15468152,sarahhalimi,,,
from:@Mediapart since:2021-09-01,1463929479622021123,1637862961,2021-11-25T17:56:01,Mediapart,"Les journalistes face à l’#extrêmedroite : les déplorables effets du laisser-faire macroniste. 

🗞️ Un parti pris de @CarineFouteau et @TertuliaSC https://mdpt.fr/328fUC9",0,9,18,11,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.905499,https://twitter.com/Mediapart/statuses/1463929479622021123,,,,,https://mdpt.fr/328fUC9,mdpt.fr,,,,carinefouteau|tertuliasc,22646610|32150215,extrêmedroite,,,
from:@Mediapart since:2021-09-01,1463924698509725696,1637861821,2021-11-25T17:37:01,Mediapart,"Les startupeurs de la haine 

Par @JeromeHourdeaux https://bit.ly/32nDVFo",0,18,30,12,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.906318,https://twitter.com/Mediapart/statuses/1463924698509725696,,,,,https://bit.ly/32nDVFo,bit.ly,,,,jeromehourdeaux,22767457,,,,
